Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,infeasible,100.0,100.0,100.0,0.0,2.07,2.07,0.0011,0.000454,100.0,100.0,100.0,0.0,2.2,2.2,0.0004,0.000175,3.0,0.0004,0.000197,1.97,0.0023,0.001048
10x10,infeasible,100.0,100.0,100.0,0.0,6.07,6.07,0.0007,0.000138,100.0,100.0,100.0,0.0,5.6,5.6,0.0002,4.1e-05,9.17,0.0016,0.000157,6.27,0.0035,0.000661
15x15,infeasible,100.0,100.0,100.0,0.0,9.2,9.2,0.002,0.000209,100.0,100.0,100.0,0.0,7.9,7.9,0.0016,0.0002,12.83,0.0033,0.000245,9.63,0.0043,0.000485
20x20,infeasible,100.0,100.0,100.0,0.0,13.77,13.77,0.004,0.00031,100.0,100.0,100.0,0.0,12.23,12.23,0.0026,0.000202,22.03,0.0077,0.000349,13.0,0.0022,0.000191
25x25,infeasible,100.0,100.0,100.0,0.0,17.5,17.5,0.0045,0.000248,100.0,100.0,100.0,0.0,16.33,16.33,0.0041,0.00026,31.23,0.014,0.000441,17.87,0.0038,0.000229
30x30,infeasible,100.0,100.0,100.0,0.0,21.77,21.77,0.0059,0.000272,100.0,100.0,100.0,0.0,21.27,21.27,0.0056,0.000282,44.03,0.022,0.000506,21.4,0.0021,0.000112
40x40,infeasible,100.0,100.0,100.0,0.0,30.87,30.87,0.0106,0.000337,100.0,100.0,100.0,0.0,33.3,33.3,0.0072,0.000208,68.87,0.043,0.000636,32.23,0.004,0.000154
50x50,infeasible,100.0,100.0,100.0,0.0,42.27,42.27,0.0177,0.000423,90.0,90.0,90.0,10.0,144.78,230.3,0.0623,0.000264,98.57,0.0751,0.000771,42.9,0.0037,9.2e-05
50x60,infeasible,100.0,100.0,100.0,0.0,55.0,55.0,0.0232,0.000423,76.7,76.7,76.7,23.3,200.3,386.9,0.1111,0.000291,129.2,0.0965,0.000752,51.87,0.0054,0.000106
60x60,infeasible,100.0,100.0,100.0,0.0,61.97,61.97,0.0286,0.000455,43.3,43.3,43.3,56.7,117.15,617.43,0.1897,0.000308,152.1,0.1398,0.000929,58.23,0.0046,8.5e-05
