problem,rows,cols,original_rows,original_cols,nonzeros,sparsity,simplex_iterations,simplex_time,simplex_feasible,simplex_status,highs_iterations,highs_simplex_iterations,highs_time,highs_feasible,highs_status,highs_agrees_with_simplex,iam1_iterations,iam1_time,iam1_feasible,iam1_status,iam1_agrees_with_simplex,pan_row_scaled_iterations,pan_row_scaled_time,pan_row_scaled_feasible,pan_row_scaled_status,pan_row_scaled_agrees_with_simplex,simplex_agrees_with_highs,iam1_agrees_with_highs,pan_row_scaled_agrees_with_highs
NAME          AFIRO,34,31,27,51,109,0.103415559772296,0,0.0,True,feasible,0,0,0.0064277648925781,True,feasible,True,0,0.0,True,feasible,True,0,0.0124411582946777,True,feasible,True,True,True,True
NAME          SC50A,70,48,50,78,182,0.0541666666666666,0,0.0,True,feasible,0,0,0.0036256313323974,True,feasible,True,0,0.0,True,feasible,True,0,0.0020687580108642,True,feasible,True,True,True,True
NAME          SC50B,70,48,50,78,170,0.050595238095238,0,0.0,True,feasible,0,0,0.0,True,feasible,True,0,0.0020170211791992,True,feasible,True,0,0.0,True,feasible,True,True,True,True
NAME          ADLITTLE,70,96,56,138,549,0.0816964285714285,28,0.1166961193084716,True,feasible,31,31,0.0112116336822509,True,feasible,True,21,0.0306200981140136,True,feasible,True,46,0.035534381866455,True,feasible,True,True,True,True
NAME          SHARE2B,109,79,96,162,778,0.0903495528974567,154,1.2586274147033691,True,feasible,70,70,0.0100274085998535,True,feasible,True,86,0.2764413356781006,True,feasible,True,125,0.6860699653625488,True,feasible,True,True,True,True
NAME          BLEND,112,78,74,114,693,0.079326923076923,0,0.0,True,feasible,0,0,0.0,True,feasible,True,0,0.00272798538208,True,feasible,True,0,0.0,True,feasible,True,True,True,True
NAME          SC105,150,103,105,163,402,0.0260194174757281,0,0.0,True,feasible,0,0,0.0112643241882324,True,feasible,True,0,0.0027213096618652,True,feasible,True,0,0.0030093193054199,True,feasible,True,True,True,True
NAME          STOCFOR1,177,108,117,165,693,0.0362523540489642,55,0.7207889556884766,True,feasible,71,71,0.0126512050628662,True,feasible,True,82,0.1484491825103759,True,feasible,True,54,0.1004726886749267,True,feasible,True,True,True,True
NAME          SCAGR7,181,108,129,185,571,0.0292101493758952,113,1.3540825843811035,True,feasible,118,118,0.0094316005706787,True,feasible,True,98,0.262364387512207,True,feasible,True,6000,11.302935361862184,False,max_iterations,False,True,True,False
NAME          ISRAEL,174,142,174,316,2269,0.0918326048243484,9,0.123523473739624,True,feasible,8,8,0.0075330734252929,True,feasible,True,8,0.0323240756988525,True,feasible,True,62,0.1636314392089843,True,feasible,True,True,True,True
NAME          SHARE1B,189,208,117,253,1902,0.0483821733821733,147,3.0461015701293945,False,infeasible,65,65,0.0092551708221435,False,infeasible,True,23,0.0652203559875488,False,infeasible,True,64,0.1447193622589111,False,infeasible,True,True,True,True
NAME          SC205,295,202,205,317,798,0.0133915086423896,0,0.0010015964508056,True,feasible,0,0,0.0038182735443115,True,feasible,True,0,0.0097947120666503,True,feasible,True,0,0.0102272033691406,True,feasible,True,True,True,True
NAME          BEACONFD,276,225,173,295,5419,0.0872624798711755,0,0.0009994506835937,True,feasible,0,0,0.0057284832000732,True,feasible,True,0,0.0083296298980712,True,feasible,True,0,0.012357473373413,True,feasible,True,True,True,True
NAME          E226,256,282,223,472,3516,0.0487034574468085,163,4.642944097518921,True,feasible,63,63,0.0156118869781494,True,feasible,True,72,0.4062604904174804,True,feasible,True,99,0.4218695163726806,True,feasible,True,True,True,True
NAME          LOTFI,241,301,153,366,1994,0.0274879033925642,410,10.859790325164797,True,feasible,178,178,0.0156769752502441,True,feasible,True,358,1.7033038139343262,True,feasible,True,6000,24.290261268615723,False,max_iterations,False,True,True,False
NAME          AGG,518,157,488,615,2656,0.032658682340211,0,0.0,True,feasible,0,0,0.030602216720581,True,feasible,True,0,0.0286617279052734,True,feasible,True,0,0.0256493091583251,True,feasible,True,True,True,True
NAME          BRANDY,373,236,220,303,3591,0.0407938383241695,98,2.75117564201355,False,infeasible,41,41,0.0,False,infeasible,True,22,0.1625430583953857,False,infeasible,True,19,0.0913810729980468,False,infeasible,True,True,True,True
NAME          SCTAP1,300,360,300,660,1572,0.0145555555555555,0,0.0,True,feasible,0,0,0.0077648162841796,True,feasible,True,0,0.0096669197082519,True,feasible,True,0,0.0126469135284423,True,feasible,True,True,True,True
NAME          SCSD1,144,750,77,760,4418,0.0409074074074074,71,0.8333804607391357,True,feasible,25,25,0.0087485313415527,True,feasible,True,10,0.0655751228332519,True,feasible,True,70,0.4224469661712646,True,feasible,True,True,True,True
NAME          BANDM,456,318,305,472,3234,0.0223022178086726,494,23.849019050598145,True,feasible,251,251,0.0021142959594726,True,feasible,True,443,4.82273268699646,True,feasible,True,6000,67.0612964630127,False,max_iterations,False,True,True,False
NAME          AGG2,566,292,516,758,4729,0.0286134372428481,56,3.5167484283447266,True,feasible,42,42,0.0,True,feasible,True,61,0.5156292915344238,True,feasible,True,56,0.5938780307769775,True,feasible,True,True,True,True
NAME          AGG3,566,292,516,758,4759,0.0287949561934265,37,2.2671713829040527,True,feasible,37,37,0.0156264305114746,True,feasible,True,76,0.6405754089355469,True,feasible,True,38,0.3593835830688476,True,feasible,True,True,True,True
NAME          SCFXM1,498,438,330,600,3738,0.0171370413159487,271,12.116166353225708,False,infeasible,51,51,0.0,False,infeasible,True,64,0.6567292213439941,False,infeasible,True,90,1.1569936275482178,False,infeasible,True,True,True,True
NAME          SCORPION,668,358,388,466,2526,0.0105626735356103,0,0.0,True,feasible,0,0,0.0156223773956298,True,feasible,True,0,0.0312471389770507,True,feasible,True,0,0.0156278610229492,True,feasible,True,True,True,True
NAME          SCAGR25,667,396,471,671,2173,0.0082269471324943,517,40.50178384780884,True,feasible,356,356,0.0156447887420654,True,feasible,True,498,7.783710956573486,True,feasible,True,6000,112.32653975486755,False,max_iterations,False,True,True,False
NAME          DEGEN2,662,531,444,757,5122,0.0145709230147757,6000,598.5627341270447,False,max_iterations,582,582,0.0634205341339111,True,feasible,False,527,12.960258960723875,True,feasible,False,1256,28.48365354537964,True,feasible,False,False,True,True
NAME          SCSD6,286,1342,147,1350,8408,0.021906558419226,93,2.62642765045166,True,feasible,178,178,0.031240701675415,True,feasible,True,140,3.4857070446014404,True,feasible,True,158,4.533008575439453,True,feasible,True,True,True,True
NAME          FFFFF800,866,846,524,1028,10730,0.0146457449538379,379,53.94718313217163,False,infeasible,196,196,0.0312988758087158,False,infeasible,True,54,2.500893831253052,False,infeasible,True,7,0.4687461853027344,False,infeasible,True,True,True,True
NAME          SCFXM2,996,876,660,1200,7486,0.0085799820285709,692,125.54200291633606,False,infeasible,91,91,0.03127121925354,False,infeasible,True,121,6.4248151779174805,False,infeasible,True,90,6.018417596817017,False,infeasible,True,True,True,True
NAME          SCRS8,809,1104,490,1275,5497,0.0061547177585496,1517,207.48678731918332,False,infeasible,41,41,0.031252384185791,False,infeasible,True,65,3.5170376300811768,False,infeasible,True,55,3.8307504653930655,False,infeasible,True,True,True,True
NAME          BNL1,873,1173,643,1586,7656,0.0074763507674099,1128,199.94914054870603,False,infeasible,92,92,0.0312044620513916,False,infeasible,True,51,3.157383918762207,False,infeasible,True,47,3.705898284912109,False,infeasible,True,True,True,True
NAME          SHIP04S,756,1458,402,1506,7190,0.0065230329290685,57,7.191665172576904,False,infeasible,21,21,0.0313012599945068,False,infeasible,True,25,1.875523567199707,False,infeasible,True,24,2.0950024127960205,False,infeasible,True,True,True,True
NAME          WOOD1P,486,2593,244,2595,137923,0.109445499834153,204,19.633968353271484,False,infeasible,350,350,0.1562459468841552,False,infeasible,True,113,13.774332046508787,False,infeasible,True,192,19.0255286693573,False,infeasible,True,True,True,True
NAME          SCTAP2,1090,1410,1090,2500,6244,0.0040627236645194,0,0.0,True,feasible,0,0,0.0489771366119384,True,feasible,True,0,0.0921711921691894,True,feasible,True,0,0.140620470046997,True,feasible,True,True,True,True
NAME          SHIP04L,756,2118,402,2166,10490,0.0065513037656569,57,8.426326990127563,False,infeasible,21,21,0.0468752384185791,False,infeasible,True,25,2.533329725265503,False,infeasible,True,24,3.0796053409576416,False,infeasible,True,True,True,True
NAME          SCFXM3,1494,1314,990,1800,11234,0.0057225349902909,1140,493.3288052082062,False,infeasible,104,104,0.0625035762786865,False,infeasible,True,178,22.383430004119877,False,infeasible,True,90,13.582279682159424,False,infeasible,True,True,True,True
