Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,feasible,100.0,100.0,100.0,0.0,2.27,2.27,0.0039,0.00244,100.0,100.0,100.0,0.0,2.93,2.93,0.0038,0.001147,3.63,0.0052,0.001409,1.87,0.0045,0.002262
10x10,feasible,100.0,100.0,100.0,0.0,5.63,5.63,0.0072,0.00116,100.0,100.0,100.0,0.0,5.9,5.9,0.0073,0.001183,8.27,0.0191,0.002398,5.2,0.0043,0.001131
15x15,feasible,100.0,100.0,100.0,0.0,9.3,9.3,0.0131,0.00145,100.0,100.0,100.0,0.0,9.13,9.13,0.0071,0.000785,14.4,0.0285,0.002062,9.1,0.0037,0.000469
20x20,feasible,100.0,100.0,100.0,0.0,14.03,14.03,0.017,0.001298,100.0,100.0,100.0,0.0,13.1,13.1,0.0081,0.000634,22.13,0.0616,0.002842,12.53,0.0045,0.000388
25x25,feasible,100.0,100.0,100.0,0.0,17.87,17.87,0.0222,0.001272,100.0,100.0,100.0,0.0,16.83,16.83,0.0116,0.000712,30.8,0.0996,0.003238,16.77,0.0042,0.000289
30x30,feasible,100.0,100.0,100.0,0.0,22.07,22.07,0.03,0.001369,100.0,100.0,100.0,0.0,19.87,19.87,0.0124,0.000646,40.17,0.1317,0.003276,20.5,0.0044,0.000228
40x40,feasible,100.0,100.0,100.0,0.0,33.87,33.87,0.0423,0.001293,100.0,100.0,100.0,0.0,36.6,36.6,0.0233,0.000658,69.3,0.2723,0.003903,31.7,0.0045,0.000148
50x50,feasible,100.0,100.0,100.0,0.0,47.0,47.0,0.0759,0.001604,96.7,96.7,96.7,3.3,197.21,323.97,0.2258,0.000755,101.87,0.452,0.004482,43.37,0.0081,0.000195
50x60,feasible,100.0,100.0,100.0,0.0,49.53,49.53,0.0938,0.001955,90.0,90.0,90.0,10.0,113.22,501.9,0.4059,0.000767,116.1,0.5277,0.004758,41.6,0.0063,0.000162
60x60,feasible,100.0,100.0,100.0,0.0,62.0,62.0,0.1142,0.001831,50.0,50.0,50.0,50.0,145.4,2072.7,1.8522,0.000876,155.23,0.828,0.00537,56.4,0.0078,0.000147
