Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,infeasible,100.0,100.0,100.0,0.0,2.07,2.07,0.0045,0.002807,100.0,100.0,100.0,0.0,3.2,3.2,0.0025,0.00086,3.0,0.0051,0.001548,1.97,0.0041,0.002689
10x10,infeasible,100.0,100.0,100.0,0.0,6.07,6.07,0.0062,0.001242,100.0,100.0,100.0,0.0,6.6,6.6,0.0056,0.000874,9.17,0.0157,0.001682,6.27,0.0035,0.000528
15x15,infeasible,100.0,100.0,100.0,0.0,9.2,9.2,0.0061,0.00075,100.0,100.0,100.0,0.0,8.9,8.9,0.0059,0.000677,12.83,0.0198,0.001491,9.63,0.0051,0.000566
20x20,infeasible,100.0,100.0,100.0,0.0,13.77,13.77,0.0135,0.000991,100.0,100.0,100.0,0.0,13.23,13.23,0.0082,0.000557,22.03,0.0625,0.002809,13.0,0.0035,0.000344
25x25,infeasible,100.0,100.0,100.0,0.0,17.5,17.5,0.0161,0.000861,100.0,100.0,100.0,0.0,17.33,17.33,0.0132,0.000759,31.23,0.0767,0.002451,17.87,0.0021,0.000129
30x30,infeasible,100.0,100.0,100.0,0.0,21.77,21.77,0.0209,0.000924,100.0,100.0,100.0,0.0,22.27,22.27,0.0155,0.000744,44.03,0.1377,0.003141,21.4,0.0039,0.000184
40x40,infeasible,100.0,100.0,100.0,0.0,30.87,30.87,0.0378,0.001222,100.0,100.0,100.0,0.0,34.3,34.3,0.0332,0.000879,68.87,0.2357,0.003392,32.23,0.0079,0.000246
50x50,infeasible,100.0,100.0,100.0,0.0,42.27,42.27,0.067,0.0016,90.0,90.0,90.0,10.0,145.78,231.2,0.1718,0.000723,98.57,0.3986,0.004057,42.9,0.0086,0.000207
50x60,infeasible,100.0,100.0,100.0,0.0,55.0,55.0,0.0907,0.001672,76.7,76.7,76.7,23.3,201.3,387.67,0.3359,0.000818,129.2,0.5479,0.00423,51.87,0.0085,0.000174
60x60,infeasible,100.0,100.0,100.0,0.0,61.97,61.97,0.0861,0.001386,43.3,43.3,43.3,56.7,118.15,617.87,0.5246,0.000825,152.1,0.7385,0.004884,58.23,0.0081,0.000151
