Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,infeasible,100.0,100.0,100.0,0.0,2.07,2.07,0.0034,0.002011,100.0,100.0,100.0,0.0,3.2,3.2,0.0018,0.00057,3.0,0.003,0.000818,1.97,0.0025,0.001314
10x10,infeasible,100.0,100.0,100.0,0.0,6.07,6.07,0.008,0.001487,100.0,100.0,100.0,0.0,6.6,6.6,0.0049,0.000833,9.17,0.0157,0.001744,6.27,0.002,0.000266
15x15,infeasible,100.0,100.0,100.0,0.0,9.2,9.2,0.0094,0.001103,100.0,100.0,100.0,0.0,8.9,8.9,0.005,0.000505,12.83,0.0201,0.00159,9.63,0.0034,0.000316
20x20,infeasible,100.0,100.0,100.0,0.0,13.77,13.77,0.0138,0.001137,100.0,100.0,100.0,0.0,13.23,13.23,0.0095,0.000721,22.03,0.0474,0.002128,13.0,0.0044,0.000366
25x25,infeasible,100.0,100.0,100.0,0.0,17.5,17.5,0.0212,0.001217,100.0,100.0,100.0,0.0,17.33,17.33,0.013,0.000763,31.23,0.0939,0.003016,17.87,0.0061,0.000362
30x30,infeasible,100.0,100.0,100.0,0.0,21.77,21.77,0.0239,0.00112,100.0,100.0,100.0,0.0,22.27,22.27,0.0166,0.000788,44.03,0.1619,0.003577,21.4,0.0036,0.000186
40x40,infeasible,100.0,100.0,100.0,0.0,30.87,30.87,0.0416,0.00143,100.0,100.0,100.0,0.0,34.3,34.3,0.0206,0.000607,68.87,0.3042,0.004359,32.23,0.005,0.000198
50x50,infeasible,100.0,100.0,100.0,0.0,42.27,42.27,0.0614,0.001478,100.0,100.0,100.0,0.0,337.1,337.1,0.3087,0.000781,98.57,0.5083,0.00512,42.9,0.0048,0.000116
50x60,infeasible,100.0,100.0,100.0,0.0,55.0,55.0,0.1062,0.001871,76.7,76.7,76.7,23.3,201.3,1087.67,1.0403,0.000947,129.2,0.706,0.005309,51.87,0.0076,0.000164
60x60,infeasible,100.0,100.0,100.0,0.0,61.97,61.97,0.1315,0.002297,50.0,50.0,50.0,50.0,473.27,2236.63,2.2199,0.00095,152.1,0.95,0.006186,58.23,0.0058,0.000101
