Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,feasible,100.0,100.0,100.0,0.0,2.33,2.33,0.001,0.000459,100.0,100.0,100.0,0.0,3.17,3.17,0.0009,0.000276,4.0,0.0019,0.000441,2.17,0.005,0.002805
10x10,feasible,100.0,100.0,100.0,0.0,5.67,5.67,0.0024,0.000406,100.0,100.0,100.0,0.0,6.07,6.07,0.002,0.000309,8.23,0.0053,0.000631,5.2,0.0045,0.001056
15x15,feasible,100.0,100.0,100.0,0.0,10.0,10.0,0.0052,0.000504,100.0,100.0,100.0,0.0,8.97,8.97,0.003,0.000312,13.37,0.0093,0.000694,9.03,0.0045,0.000535
20x20,feasible,100.0,100.0,100.0,0.0,13.87,13.87,0.0072,0.000494,100.0,100.0,100.0,0.0,12.63,12.63,0.0035,0.00026,20.7,0.015,0.000746,12.13,0.0055,0.000489
25x25,feasible,100.0,100.0,100.0,0.0,17.5,17.5,0.0077,0.000448,100.0,100.0,100.0,0.0,16.1,16.1,0.0054,0.00033,29.0,0.0263,0.00093,15.43,0.0043,0.000299
30x30,feasible,100.0,100.0,100.0,0.0,24.13,24.13,0.0111,0.00048,100.0,100.0,100.0,0.0,21.4,21.4,0.0063,0.000287,39.67,0.0321,0.000814,23.27,0.0049,0.000232
40x40,feasible,100.0,100.0,100.0,0.0,33.37,33.37,0.0193,0.000585,100.0,100.0,100.0,0.0,31.33,31.33,0.0096,0.000312,63.87,0.0676,0.001066,33.97,0.0046,0.000137
50x50,feasible,100.0,100.0,100.0,0.0,48.87,48.87,0.0426,0.000892,100.0,100.0,100.0,0.0,55.67,55.67,0.0299,0.000518,99.77,0.1708,0.001741,46.57,0.0071,0.000164
50x60,feasible,100.0,100.0,100.0,0.0,46.5,46.5,0.0336,0.000708,100.0,100.0,100.0,0.0,42.3,42.3,0.0158,0.000372,91.57,0.1276,0.001435,41.17,0.0059,0.000149
60x60,feasible,100.0,100.0,100.0,0.0,58.83,58.83,0.0489,0.000839,90.0,90.0,90.0,10.0,65.3,158.77,0.0646,0.000437,129.53,0.2328,0.001831,55.17,0.0066,0.000127
