Size,Problem_Type,IAM-1 Standard_Success_Rate,IAM-1 Standard_Agreement_with_Simplex,IAM-1 Standard_Agreement_with_HiGHS,IAM-1 Standard_Max_Iter_Reached,IAM-1 Standard_Avg_Iterations,IAM-1 Standard_Avg_Iterations_All,IAM-1 Standard_Avg_Time,IAM-1 Standard_Time_Per_Iter,Pan's Method with Row Scaling_Success_Rate,Pan's Method with Row Scaling_Agreement_with_Simplex,Pan's Method with Row Scaling_Agreement_with_HiGHS,Pan's Method with Row Scaling_Max_Iter_Reached,Pan's Method with Row Scaling_Avg_Iterations,Pan's Method with Row Scaling_Avg_Iterations_All,Pan's Method with Row Scaling_Avg_Time,Pan's Method with Row Scaling_Time_Per_Iter,Simplex_Avg_Iterations,Simplex_Avg_Time,Simplex_Time_Per_Iter,HiGHS_Avg_Iterations,HiGHS_Avg_Time,HiGHS_Time_Per_Iter
5x5,infeasible,100.0,100.0,100.0,0.0,0.83,0.83,0.0004,0.000486,100.0,100.0,100.0,0.0,1.9,1.9,0.0006,0.000232,2.77,0.001,0.000323,1.0,0.0048,0.003405
10x10,infeasible,100.0,100.0,100.0,0.0,3.37,3.37,0.0012,0.000378,100.0,100.0,100.0,0.0,4.63,4.63,0.0017,0.000327,6.7,0.004,0.000552,4.3,0.0046,0.001245
15x15,infeasible,100.0,100.0,100.0,0.0,7.77,7.77,0.0037,0.0005,100.0,100.0,100.0,0.0,8.23,8.23,0.0032,0.00035,13.93,0.011,0.000796,8.53,0.0048,0.000718
20x20,infeasible,100.0,100.0,100.0,0.0,13.33,13.33,0.0062,0.000468,100.0,100.0,100.0,0.0,12.47,12.47,0.0056,0.000441,20.37,0.0187,0.000916,12.47,0.0047,0.000418
25x25,infeasible,100.0,100.0,100.0,0.0,14.93,14.93,0.0064,0.000443,100.0,100.0,100.0,0.0,14.6,14.6,0.0055,0.000392,25.53,0.0248,0.000971,15.63,0.0044,0.000316
30x30,infeasible,100.0,100.0,100.0,0.0,23.07,23.07,0.0138,0.000615,100.0,100.0,100.0,0.0,22.27,22.27,0.0088,0.000407,39.13,0.0382,0.000993,23.17,0.0049,0.000235
40x40,infeasible,100.0,100.0,100.0,0.0,30.67,30.67,0.0208,0.000667,100.0,100.0,100.0,0.0,30.37,30.37,0.0131,0.000421,61.97,0.0921,0.001466,34.4,0.0055,0.000166
50x50,infeasible,100.0,100.0,100.0,0.0,44.6,44.6,0.0269,0.00059,100.0,100.0,100.0,0.0,52.97,52.97,0.021,0.000389,96.03,0.1277,0.00134,48.27,0.0052,0.000114
50x60,infeasible,100.0,100.0,100.0,0.0,49.27,49.27,0.0293,0.000595,100.0,100.0,100.0,0.0,59.8,59.8,0.0238,0.000403,115.9,0.133,0.001162,54.73,0.0051,9.4e-05
60x60,infeasible,100.0,100.0,100.0,0.0,56.93,56.93,0.0417,0.000738,90.0,90.0,90.0,10.0,87.41,178.67,0.0821,0.000452,137.2,0.2246,0.001622,58.73,0.0063,0.000114
